location_x,location_y,remaining_min,power_of_shot,game_season,lat/lng,home/away,remaining_sec,shot_id_number,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,type_of_shot,type_of_combined_shot
-180,246,0,4,,"28.549237, -81.372780",MANU @ ORL,0,13679,50,0,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 5,
-37,52,,1,2008-09,"35.103812, -89.964007",MANU @ MEM,14,13680,26,,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-59,26,4,1,2008-09,"35.103812, -89.964007",MANU @ MEM,29,13681,26,0,Center(C),Goal Line,Less Than 8 ft.,shot - 15,
114,104,4,,2008-09,"35.103812, -89.964007",MANU @ MEM,4,13682,35,1,Right Side(R),Mid Range,,,shot - 3
0,0,3,,2008-09,"35.103812, -89.964007",MANU @ MEM,9,13683,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
-157,94,2,1,2008-09,"35.103812, -89.964007",MANU @ MEM,42,13684,38,,Left Side(L),Mid Range,16-24 ft.,,shot - 3
99,235,1,1,,"35.103812, -89.964007",MANU @ MEM,14,13685,45,0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 38,
0,,0,1,,"35.103812, -89.964007",MANU @ MEM,0,13686,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 33,
0,0,4,,2008-09,"35.103812, -89.964007",,40,13687,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-112,96,3,2,2008-09,"35.103812, -89.964007",MANU @ MEM,18,13688,34,1,Left Side(L),Mid Range,8-16 ft.,shot - 15,
159,208,2,,2008-09,"35.103812, -89.964007",MANU @ MEM,12,13689,46,1,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
-147,205,1,2,2008-09,"35.103812, -89.964007",,36,13690,45,,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
100,242,1,2,2008-09,"35.103812, -89.964007",MANU @ MEM,12,13691,46,0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 25,
-10,105,0,2,2008-09,"35.103812, -89.964007",MANU @ MEM,2,13692,,0,Center(C),Goal Line,8-16 ft.,,shot - 3
-32,99,11,3,2008-09,"35.103812, -89.964007",MANU @ MEM,47,13693,30,,Center(C),Goal Line,8-16 ft.,shot - 44,
,61,10,3,2008-09,"35.103812, -89.964007",MANU @ MEM,34,13694,26,1,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-11,209,5,3,2008-09,"35.103812, -89.964007",MANU @ MEM,58,13695,40,0,Center(C),Mid Range,16-24 ft.,,shot - 3
17,67,4,3,2008-09,"35.103812, -89.964007",MANU @ MEM,7,13696,26,,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
,74,1,3,2008-09,,MANU @ MEM,6,13697,29,0,Left Side(L),,8-16 ft.,,shot - 0
-65,274,7,,2008-09,,MANU @ MEM,34,13698,48,0,Center(C),Penalty Spot,24+ ft.,,shot - 3
0,0,5,4,2008-09,"35.103812, -89.964007",MANU @ MEM,58,13699,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
64,45,2,4,2008-09,"35.103812, -89.964007",MANU @ MEM,8,13700,27,,Center(C),Goal Line,Less Than 8 ft.,,shot - 0
143,209,0,4,2008-09,"35.103812, -89.964007",MANU @ MEM,34,13701,45,,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 0,
0,0,0,4,2008-09,"35.103812, -89.964007",MANU @ MEM,1,13702,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 56,
61,145,9,1,2008-09,"30.018061, -90.022651",MANU @ NOH,47,13703,35,,Center(C),Mid Range,8-16 ft.,,shot - 3
129,63,11,2,2008-09,"30.018061, -90.022651",MANU @ NOH,30,13704,34,0,Right Side(R),Mid Range,8-16 ft.,shot - 47,
-163,12,8,2,2008-09,,MANU @ NOH,41,13705,36,0,Left Side(L),Mid Range,16-24 ft.,,shot - 3
173,96,6,2,,"30.018061, -90.022651",MANU @ NOH,44,13706,,0,Right Side(R),Mid Range,16-24 ft.,,shot - 3
-41,85,,2,,,MANU @ NOH,32,,29,,Center(C),Goal Line,8-16 ft.,,shot - 3
78,69,,2,2008-09,"30.018061, -90.022651",MANU @ NOH,50,13708,30,0,Right Side(R),Goal Line,8-16 ft.,shot - 27,
0,0,4,2,2008-09,"30.018061, -90.022651",,19,13709,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 56,
226,34,3,,2008-09,"30.018061, -90.022651",MANU @ NOH,56,13710,42,0,Right Side(R),Right Corner,24+ ft.,shot - 31,
-89,55,11,3,2008-09,"30.018061, -90.022651",MANU @ NOH,16,13711,30,,Left Side(L),Mid Range,8-16 ft.,,shot - 3
145,170,9,3,,"30.018061, -90.022651",,10,13712,42,1,Right Side Center(RC),Mid Range,16-24 ft.,shot - 50,
-114,66,8,3,2008-09,"30.018061, -90.022651",MANU @ NOH,33,13713,33,,Left Side(L),Mid Range,,shot - 26,
140,31,3,3,2008-09,"30.018061, -90.022651",MANU @ NOH,2,13714,34,,Right Side(R),Mid Range,8-16 ft.,shot - 38,
-7,78,1,3,2008-09,"30.018061, -90.022651",MANU @ NOH,25,13715,27,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
110,131,8,4,,"30.018061, -90.022651",MANU @ NOH,53,13716,37,,Right Side Center(RC),Mid Range,,shot - 15,
-158,37,8,4,2008-09,"30.018061, -90.022651",MANU @ NOH,12,13717,36,0,,Mid Range,16-24 ft.,shot - 21,
125,186,4,4,,"30.018061, -90.022651",MANU @ NOH,45,13718,42,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
62,187,3,4,2008-09,"30.018061, -90.022651",MANU @ NOH,10,13719,39,1,Right Side Center(RC),Mid Range,16-24 ft.,shot - 29,
173,14,1,4,2008-09,"30.018061, -90.022651",MANU @ NOH,41,13720,,,Right Side(R),Mid Range,16-24 ft.,shot - 23,
234,28,,1,,"42.982923, -71.446094",MANU vs. BOS,13,13721,43,0,Right Side(R),Right Corner,24+ ft.,,shot - 3
0,0,8,1,2008-09,"42.982923, -71.446094",MANU vs. BOS,,13722,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
15,168,7,1,2008-09,,MANU vs. BOS,22,13723,36,0,Center(C),Mid Range,16-24 ft.,shot - 33,
135,75,5,1,2008-09,"42.982923, -71.446094",MANU vs. BOS,57,13724,35,1,Right Side(R),Mid Range,,shot - 15,
84,123,5,1,2008-09,"42.982923, -71.446094",MANU vs. BOS,8,,34,,Right Side(R),Mid Range,8-16 ft.,shot - 17,
136,131,3,1,2008-09,"42.982923, -71.446094",MANU vs. BOS,46,13726,38,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
81,138,2,1,2008-09,"42.982923, -71.446094",MANU vs. BOS,19,13727,36,,Right Side Center(RC),Mid Range,16-24 ft.,shot - 55,
0,0,1,1,2008-09,"42.982923, -71.446094",MANU vs. BOS,9,13728,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-45,222,11,2,,"42.982923, -71.446094",MANU vs. BOS,29,13729,42,1,Center(C),Mid Range,16-24 ft.,,shot - 3
0,,10,2,2008-09,"42.982923, -71.446094",MANU vs. BOS,58,13730,20,1,Center(C),Goal Area,,,shot - 4
92,151,8,2,2008-09,"42.982923, -71.446094",MANU vs. BOS,14,13731,37,1,Right Side Center(RC),Mid Range,16-24 ft.,shot - 19,
,140,6,2,2008-09,"42.982923, -71.446094",,36,13732,40,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
195,173,0,2,2008-09,"42.982923, -71.446094",MANU vs. BOS,42,13733,46,,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
-100,156,11,3,2008-09,"42.982923, -71.446094",MANU vs. BOS,17,13734,38,0,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
0,0,10,3,2008-09,"42.982923, -71.446094",MANU vs. BOS,41,13735,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
47,121,7,,2008-09,"42.982923, -71.446094",MANU vs. BOS,34,,32,0,Center(C),Goal Line,8-16 ft.,shot - 37,
154,203,7,3,2008-09,"42.982923, -71.446094",MANU vs. BOS,10,13737,45,1,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 45,
-123,77,6,3,,"42.982923, -71.446094",MANU vs. BOS,1,,34,,Left Side(L),Mid Range,8-16 ft.,shot - 22,
0,0,4,3,2008-09,"42.982923, -71.446094",MANU vs. BOS,46,13739,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-64,11,3,3,2008-09,"42.982923, -71.446094",MANU vs. BOS,12,13740,26,0,Center(C),Goal Line,Less Than 8 ft.,shot - 27,
-123,119,9,4,2008-09,"42.982923, -71.446094",MANU vs. BOS,26,13741,37,1,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
176,9,3,4,2008-09,"42.982923, -71.446094",MANU vs. BOS,37,13742,37,1,Right Side(R),Mid Range,16-24 ft.,,shot - 3
0,0,0,4,2008-09,"42.982923, -71.446094",MANU vs. BOS,26,13743,20,,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
110,189,11,1,2008-09,"42.982923, -71.446094",MANU vs. GSW,45,13744,41,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
138,132,10,1,,"42.982923, -71.446094",MANU vs. GSW,36,13745,39,1,Right Side Center(RC),Mid Range,16-24 ft.,shot - 9,
171,189,6,1,2008-09,"42.982923, -71.446094",MANU vs. GSW,41,13746,45,1,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 19,
95,183,5,1,2008-09,"42.982923, -71.446094",MANU vs. GSW,33,13747,,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
,233,2,1,,"42.982923, -71.446094",MANU vs. GSW,12,13748,45,0,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
-117,135,0,1,2008-09,"42.982923, -71.446094",MANU vs. GSW,49,13749,37,0,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
0,0,6,2,,"42.982923, -71.446094",MANU vs. GSW,6,13750,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 10,
189,184,4,2,2008-09,"42.982923, -71.446094",MANU vs. GSW,,13751,46,0,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
48,94,3,2,2008-09,"42.982923, -71.446094",MANU vs. GSW,59,13752,30,0,Center(C),,8-16 ft.,shot - 36,
0,0,3,2,2008-09,"42.982923, -71.446094",MANU vs. GSW,15,13753,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
6,69,11,3,2008-09,"42.982923, -71.446094",MANU vs. GSW,32,13754,26,1,Center(C),Goal Line,Less Than 8 ft.,shot - 27,
162,187,11,3,2008-09,"42.982923, -71.446094",MANU vs. GSW,11,13755,44,1,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
176,47,5,3,2008-09,"42.982923, -71.446094",MANU vs. GSW,14,13756,38,,Right Side(R),Mid Range,16-24 ft.,,shot - 3
174,178,4,,,"42.982923, -71.446094",MANU vs. GSW,1,13757,44,,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 22,
-235,25,0,3,2008-09,"42.982923, -71.446094",MANU vs. GSW,55,13758,43,1,Left Side(L),Left Corner,24+ ft.,,shot - 3
48,75,11,1,2008-09,"42.982923, -71.446094",MANU vs. UTA,,13759,28,,Right Side(R),Goal Line,8-16 ft.,,shot - 3
0,0,,1,2008-09,"42.982923, -71.446094",MANU vs. UTA,43,13760,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
0,0,2,1,2008-09,"42.982923, -71.446094",MANU vs. UTA,12,13761,20,,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
64,108,0,1,2008-09,"42.982923, -71.446094",,1,13762,32,0,Right Side(R),Goal Line,,,shot - 3
0,0,6,2,2008-09,"42.982923, -71.446094",MANU vs. UTA,48,13763,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
226,-2,4,2,2008-09,"42.982923, -71.446094",MANU vs. UTA,31,13764,42,1,Right Side(R),Right Corner,24+ ft.,,shot - 3
135,219,3,2,2008-09,"42.982923, -71.446094",MANU vs. UTA,36,13765,45,0,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
1,71,1,2,2008-09,,MANU vs. UTA,10,13766,27,1,Center(C),Goal Line,Less Than 8 ft.,shot - 54,
59,50,,3,,"42.982923, -71.446094",MANU vs. UTA,49,13767,27,,,Goal Line,,shot - 46,
15,67,9,3,2008-09,"42.982923, -71.446094",MANU vs. UTA,56,13768,,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-13,82,8,3,2008-09,"42.982923, -71.446094",MANU vs. UTA,35,13769,28,1,Center(C),Goal Line,8-16 ft.,,shot - 3
-10,104,7,3,2008-09,"42.982923, -71.446094",MANU vs. UTA,48,13770,30,0,,Goal Line,8-16 ft.,shot - 45,
,53,7,3,,"42.982923, -71.446094",MANU vs. UTA,24,13771,,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-146,126,5,3,2008-09,"42.982923, -71.446094",MANU vs. UTA,14,13772,39,1,Left Side Center(LC),Mid Range,16-24 ft.,shot - 12,
-56,47,2,3,,"42.982923, -71.446094",MANU vs. UTA,58,13773,27,0,Center(C),,Less Than 8 ft.,shot - 5,
116,7,2,3,2008-09,"42.982923, -71.446094",MANU vs. UTA,28,13774,31,0,Right Side(R),Mid Range,8-16 ft.,shot - 15,
0,0,,3,2008-09,"42.982923, -71.446094",MANU vs. UTA,33,13775,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
-51,186,6,4,,"42.982923, -71.446094",MANU vs. UTA,55,13776,39,1,Center(C),Mid Range,16-24 ft.,shot - 34,
0,0,5,4,2008-09,"42.982923, -71.446094",MANU vs. UTA,4,13777,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
0,0,4,4,,"42.982923, -71.446094",MANU vs. UTA,15,13778,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 56,
21,168,3,4,2008-09,"42.982923, -71.446094",MANU vs. UTA,48,13779,36,0,Center(C),Mid Range,16-24 ft.,shot - 36,
0,,3,4,2008-09,"42.982923, -71.446094",MANU vs. UTA,22,13780,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
163,197,0,4,2008-09,"42.982923, -71.446094",MANU vs. UTA,,13781,45,1,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
-51,173,11,1,2008-09,"42.982923, -71.446094",MANU vs. POR,11,13782,38,,Center(C),Mid Range,16-24 ft.,shot - 9,
-93,0,10,1,2008-09,"42.982923, -71.446094",MANU vs. POR,17,13783,29,0,Left Side(L),Mid Range,8-16 ft.,shot - 3,
0,0,,1,2008-09,"42.982923, -71.446094",MANU vs. POR,55,13784,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-111,179,4,1,,"42.982923, -71.446094",MANU vs. POR,4,13785,41,1,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
-188,153,2,,2008-09,"42.982923, -71.446094",MANU vs. POR,20,13786,44,,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
146,124,1,1,2008-09,"42.982923, -71.446094",MANU vs. POR,4,13787,39,,Right Side Center(RC),Mid Range,16-24 ft.,shot - 39,
174,26,6,2,2008-09,"42.982923, -71.446094",MANU vs. POR,3,13788,37,0,Right Side(R),Mid Range,16-24 ft.,shot - 45,
,0,5,2,2008-09,"42.982923, -71.446094",,34,13789,20,1,Center(C),,Less Than 8 ft.,shot - 46,
2,135,4,,,"42.982923, -71.446094",MANU vs. POR,44,13790,33,1,Center(C),Goal Line,8-16 ft.,,shot - 3
4,118,1,2,2008-09,"42.982923, -71.446094",MANU vs. POR,14,13791,31,1,Center(C),Goal Line,,,shot - 3
-65,55,10,3,2008-09,"42.982923, -71.446094",MANU vs. POR,34,13792,28,,Left Side(L),Goal Line,8-16 ft.,,shot - 3
-122,195,8,3,,"42.982923, -71.446094",MANU vs. POR,25,13793,43,0,Left Side Center(LC),Mid Range,16-24 ft.,shot - 36,
23,45,8,3,2008-09,"42.982923, -71.446094",MANU vs. POR,,13794,25,1,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-81,140,6,3,2008-09,"42.982923, -71.446094",MANU vs. POR,55,13795,36,,Left Side Center(LC),Mid Range,16-24 ft.,shot - 17,
-87,66,3,3,2008-09,"42.982923, -71.446094",MANU vs. POR,24,13796,30,1,Left Side(L),Mid Range,8-16 ft.,,shot - 3
0,0,1,3,2008-09,"42.982923, -71.446094",MANU vs. POR,23,13797,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
0,0,,3,2008-09,"42.982923, -71.446094",MANU vs. POR,58,13798,,,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
228,0,,4,2008-09,"42.982923, -71.446094",MANU vs. POR,25,13799,42,0,Right Side(R),Right Corner,24+ ft.,shot - 18,
-2,75,3,4,,"42.982923, -71.446094",MANU vs. POR,43,13800,27,0,Center(C),Goal Line,Less Than 8 ft.,shot - 44,
122,,7,1,,"42.982923, -71.446094",MANU vs. NOH,45,13801,35,1,Right Side(R),Mid Range,8-16 ft.,,shot - 3
45,82,5,1,2008-09,"42.982923, -71.446094",MANU vs. NOH,1,13802,29,1,Center(C),Goal Line,8-16 ft.,,shot - 3
81,170,4,1,,"42.982923, -71.446094",MANU vs. NOH,16,13803,38,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
140,160,3,1,2008-09,"42.982923, -71.446094",MANU vs. NOH,49,13804,41,0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 17,
9,157,,1,2008-09,"42.982923, -71.446094",MANU vs. NOH,27,13805,35,0,Center(C),Mid Range,,shot - 43,
-123,238,3,2,2008-09,"42.982923, -71.446094",MANU vs. NOH,14,13806,46,1,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
163,345,,2,2008-09,"42.982923, -71.446094",MANU vs. NOH,0,13807,58,,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
53,213,11,3,2008-09,"42.982923, -71.446094",MANU vs. NOH,17,13808,41,1,Center(C),Mid Range,16-24 ft.,,shot - 3
-193,30,10,3,2008-09,"42.982923, -71.446094",MANU vs. NOH,51,13809,39,,Left Side(L),Mid Range,16-24 ft.,shot - 3,
-105,135,8,,2008-09,"42.982923, -71.446094",MANU vs. NOH,2,13810,37,1,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
100,241,7,3,2008-09,"42.982923, -71.446094",MANU vs. NOH,9,13811,46,,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
77,272,5,3,2008-09,"42.982923, -71.446094",MANU vs. NOH,56,13812,48,1,Center(C),Penalty Spot,24+ ft.,,shot - 3
-171,213,5,3,,,MANU vs. NOH,36,13813,47,1,Left Side Center(LC),Penalty Spot,,shot - 2,
185,6,4,3,2008-09,"42.982923, -71.446094",MANU vs. NOH,26,13814,38,1,Right Side(R),Mid Range,16-24 ft.,,shot - 3
110,148,0,3,2008-09,"42.982923, -71.446094",MANU vs. NOH,54,13815,38,,Right Side Center(RC),Mid Range,16-24 ft.,shot - 36,
111,250,0,3,2008-09,"42.982923, -71.446094",MANU vs. NOH,35,13816,47,1,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 18,
20,71,11,4,2008-09,"42.982923, -71.446094",MANU vs. NOH,44,13817,27,,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-48,,10,,2008-09,"42.982923, -71.446094",MANU vs. NOH,11,13818,28,,Left Side(L),Goal Line,8-16 ft.,,shot - 3
0,0,9,4,2008-09,"42.982923, -71.446094",MANU vs. NOH,8,13819,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
144,116,6,4,2008-09,"42.982923, -71.446094",MANU vs. NOH,25,13820,38,0,Right Side Center(RC),Mid Range,16-24 ft.,shot - 46,
110,241,1,4,2008-09,"42.982923, -71.446094",MANU vs. NOH,39,13821,46,0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 5,
-86,148,0,4,2008-09,,MANU vs. NOH,49,13822,37,,Left Side Center(LC),Mid Range,16-24 ft.,shot - 52,
-27,56,5,1,2008-09,"37.754130, -122.437947",MANU @ GSW,55,13823,26,1,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
189,187,4,1,2008-09,"37.754130, -122.437947",MANU @ GSW,27,13824,46,,Right Side Center(RC),,24+ ft.,shot - 13,
17,6,1,1,,"37.754130, -122.437947",MANU @ GSW,20,13825,21,1,Center(C),Goal Area,Less Than 8 ft.,shot - 4,
,28,0,,,,MANU @ GSW,46,13826,23,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-2,,0,1,2008-09,"37.754130, -122.437947",MANU @ GSW,,13827,,1,Center(C),Goal Area,Less Than 8 ft.,shot - 3,
,25,3,2,2008-09,"37.754130, -122.437947",MANU @ GSW,25,13828,25,0,Center(C),Goal Line,Less Than 8 ft.,shot - 11,
24,45,10,3,2008-09,,MANU @ GSW,13,13829,25,,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
133,227,9,3,2008-09,"37.754130, -122.437947",MANU @ GSW,9,13830,46,1,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
163,224,7,3,2008-09,"37.754130, -122.437947",MANU @ GSW,52,13831,47,0,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 55,
-10,12,6,3,2008-09,"37.754130, -122.437947",MANU @ GSW,16,13832,21,,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
-15,265,3,3,2008-09,"37.754130, -122.437947",MANU @ GSW,17,13833,46,0,Center(C),Penalty Spot,24+ ft.,shot - 5,
97,,0,3,2008-09,"37.754130, -122.437947",MANU @ GSW,30,13834,47,0,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
125,148,0,3,2008-09,"37.754130, -122.437947",MANU @ GSW,0,13835,39,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
129,116,7,4,2008-09,"37.754130, -122.437947",MANU @ GSW,46,13836,37,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
-4,3,6,4,2008-09,"37.754130, -122.437947",MANU @ GSW,44,13837,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-127,52,5,4,2008-09,"37.754130, -122.437947",MANU @ GSW,53,13838,33,0,Left Side(L),Mid Range,8-16 ft.,shot - 52,
6,14,5,4,2008-09,"37.754130, -122.437947",MANU @ GSW,11,13839,21,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
20,17,2,4,2008-09,"37.754130, -122.437947",MANU @ GSW,48,13840,22,,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-13,20,1,4,2008-09,"37.754130, -122.437947",MANU @ GSW,41,13841,22,,,Goal Area,Less Than 8 ft.,,shot - 4
-15,39,1,4,2008-09,"37.754130, -122.437947",MANU @ GSW,19,13842,24,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
20,58,9,1,,"42.982923, -71.446094",MANU vs. IND,47,,26,0,Center(C),Goal Line,Less Than 8 ft.,shot - 40,
237,56,9,1,2008-09,"42.982923, -71.446094",MANU vs. IND,41,13844,,1,Right Side(R),Right Corner,24+ ft.,shot - 47,
111,159,5,1,2008-09,"42.982923, -71.446094",MANU vs. IND,20,13845,39,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
-202,50,1,1,2008-09,"42.982923, -71.446094",MANU vs. IND,27,,40,1,Left Side(L),Mid Range,16-24 ft.,,shot - 3
162,228,6,2,,"42.982923, -71.446094",MANU vs. IND,46,13847,47,0,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
113,69,3,2,2008-09,"42.982923, -71.446094",MANU vs. IND,8,13848,33,1,Right Side(R),Mid Range,8-16 ft.,,shot - 3
6,75,5,3,2008-09,"42.982923, -71.446094",,23,13849,27,1,Center(C),Goal Line,Less Than 8 ft.,shot - 36,
31,58,3,3,,"42.982923, -71.446094",MANU vs. IND,41,13850,,1,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
89,195,3,3,2008-09,"42.982923, -71.446094",MANU vs. IND,19,,41,,Right Side Center(RC),Mid Range,16-24 ft.,shot - 5,
119,17,2,3,,"42.982923, -71.446094",MANU vs. IND,49,13852,32,0,Right Side(R),Mid Range,8-16 ft.,,shot - 3
-229,-2,2,3,2008-09,"42.982923, -71.446094",MANU vs. IND,44,13853,42,0,Left Side(L),Left Corner,24+ ft.,,shot - 3
-34,45,2,3,2008-09,"42.982923, -71.446094",MANU vs. IND,21,13854,25,1,,Goal Line,Less Than 8 ft.,,shot - 0
-127,145,1,3,2008-09,"42.982923, -71.446094",MANU vs. IND,25,13855,39,0,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
-87,34,5,4,2008-09,"42.982923, -71.446094",MANU vs. IND,22,13856,29,0,Left Side(L),Mid Range,,shot - 15,
-187,179,4,4,2008-09,"42.982923, -71.446094",MANU vs. IND,52,13857,45,0,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 41,
1,176,3,4,2008-09,"42.982923, -71.446094",MANU vs. IND,36,13858,37,0,Center(C),Mid Range,16-24 ft.,,shot - 3
157,-2,2,4,,"42.982923, -71.446094",MANU vs. IND,59,13859,35,1,,Mid Range,8-16 ft.,shot - 42,
77,,2,4,,,,33,13860,35,0,Center(C),Goal Line,8-16 ft.,shot - 11,
84,176,1,4,2008-09,"42.982923, -71.446094",MANU vs. IND,10,13861,39,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
23,175,0,4,2008-09,"42.982923, -71.446094",MANU vs. IND,3,13862,37,1,Center(C),Mid Range,16-24 ft.,shot - 43,
-136,246,6,1,2008-09,,MANU vs. MIA,43,13863,48,1,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 15,
237,,2,2,2008-09,"42.982923, -71.446094",MANU vs. MIA,53,13864,43,0,Right Side(R),Right Corner,24+ ft.,,shot - 3
124,235,0,2,2008-09,"42.982923, -71.446094",MANU vs. MIA,32,13865,46,0,Right Side Center(RC),Penalty Spot,24+ ft.,,shot - 3
-116,105,11,3,2008-09,"42.982923, -71.446094",MANU vs. MIA,22,,35,0,Left Side(L),Mid Range,8-16 ft.,,shot - 3
0,0,9,3,2008-09,"42.982923, -71.446094",MANU vs. MIA,51,13867,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
,129,6,3,,"42.982923, -71.446094",MANU vs. MIA,4,,35,,Left Side(L),Mid Range,8-16 ft.,,shot - 3
0,0,4,3,2008-09,"42.982923, -71.446094",MANU vs. MIA,26,13869,,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-198,160,3,3,2008-09,"42.982923, -71.446094",MANU vs. MIA,,13870,45,1,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
0,0,1,3,2008-09,,MANU vs. MIA,7,13871,20,,Center(C),Goal Area,,shot - 1,
78,209,0,3,2008-09,"42.982923, -71.446094",MANU vs. MIA,32,13872,42,0,,Mid Range,16-24 ft.,,shot - 3
0,0,0,3,,"42.982923, -71.446094",MANU vs. MIA,1,13873,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
-166,14,7,4,2008-09,"42.982923, -71.446094",MANU vs. MIA,4,13874,36,0,Left Side(L),Mid Range,16-24 ft.,shot - 24,
37,165,6,4,2008-09,"42.982923, -71.446094",MANU vs. MIA,39,13875,36,0,Center(C),Mid Range,16-24 ft.,,shot - 3
0,0,0,,,"42.982923, -71.446094",MANU vs. MIA,18,13876,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
,74,10,1,2008-09,,MANU @ HOU,50,13877,28,1,Center(C),Goal Line,8-16 ft.,,shot - 3
